bowler,total_runs
BA Bhatt,408
AC Thomas,416
Joginder Sharma,421
MJ Santner,428
BCJ Cutting,430
Lalit Yadav,430
Akash Madhwal,431
TK Curran,432
PVD Chameera,442
SJ Srivastava,444
J Yadav,447
D Wiese,447
Mukesh Choudhary,452
Ankit Sharma,453
LR Shukla,458
L Ngidi,460
RG Sharma,462
Pankaj Singh,472
A Mithun,477
KW Richardson,479
DJ Hussey,485
BW Hilfenhaus,497
VY Mahesh,511
NT Ellis,514
AN Ahmed,515
RE van der Merwe,515
CJ Anderson,525
Mohammad Nabi,527
DR Sams,528
MF Maharoof,532
DJ Hooda,535
RR Powar,538
VRV Singh,549
R McLaren,558
JR Hopes,562
A Zampa,562
JP Behrendorff,563
Bipul Sharma,581
GB Hogg,585
Harshit Rana,590
Mujeeb Ur Rahman,598
VG Arora,598
Naveen-ul-Haq,602
J Suchith,604
IC Pandey,609
C Sakariya,610
M Pathirana,617
RP Meredith,621
Anureet Singh,636
A Singh,639
SW Tait,668
Noor Ahmad,672
CR Woakes,674
C Green,675
A Symonds,694
Mohsin Khan,698
Yash Thakur,702
Azhar Mahmood,707
Mukesh Kumar,707
AS Joseph,707
DE Bollinger,716
Kartik Tyagi,720
M Jansen,732
Harmeet Singh,747
CH Gayle,755
PWH de Silva,758
STR Binny,763
BB Sran,767
Umran Malik,785
KK Cooper,789
MR Marsh,803
M Theekshana,814
DP Nannes,815
J Botha,818
DR Smith,825
K Gowtham,825
JR Hazlewood,830
AS Rajpoot,844
JP Duminy,847
Shahbaz Ahmed,850
Basil Thampi,862
PV Tambe,866
DL Vettori,894
MM Ali,900
Harpreet Brar,907
R Dhawan,922
Yash Dayal,933
P Negi,954
Shivam Mavi,958
Navdeep Saini,968
WD Parnell,968
AJ Tye,1005
BA Stokes,1023
NLTC Perera,1031
P Awana,1046
S Aravind,1057
M Markande,1081
RJ Harris,1085
A Kumble,1089
Yuvraj Singh,1091
AD Mathews,1095
R Sharma,1100
CJ Jordan,1111
R Tewatia,1117
Iqbal Abdulla,1125
NM Coulter-Nile,1125
B Lee,1126
SK Raina,1139
AB Agarkar,1174
MA Starc,1175
M Ashwin,1182
JC Archer,1210
DT Christian,1218
S Sreesanth,1221
PJ Sangwan,1267
TU Deshpande,1275
MP Stoinis,1300
MC Henriques,1302
GJ Maxwell,1311
MS Gony,1317
Washington Sundar,1335
S Gopal,1358
M Kartik,1418
YK Pathan,1443
LH Ferguson,1451
SK Warne,1465
SB Jakati,1474
JO Holder,1489
VR Aaron,1527
A Nortje,1614
Imran Tahir,1729
MM Patel,1733
MG Johnson,1740
M Prasidh Krishna,1741
M Muralitharan,1765
S Kaul,1772
TG Southee,1774
Mustafizur Rahman,1792
S Nadeem,1800
MJ McClenaghan,1839
JP Faulkner,1849
Ravi Bishnoi,1861
Shakib Al Hasan,1864
KK Ahmed,1918
SM Curran,1924
SK Trivedi,1944
PJ Cummins,1976
T Natarajan,2001
Avesh Khan,2010
CV Varun,2042
R Bhatia,2059
L Balaji,2083
Arshdeep Singh,2097
AB Dinda,2103
KV Sharma,2130
M Morkel,2136
RD Chahar,2165
HH Pandya,2196
KA Pollard,2200
DL Chahar,2243
JH Kallis,2348
CH Morris,2377
PP Ojha,2399
JA Morkel,2409
Kuldeep Yadav,2413
RP Singh,2417
DS Kulkarni,2513
A Nehra,2537
DW Steyn,2583
KH Pandya,2644
K Rabada,2652
AD Russell,2691
IK Pathan,2711
SR Watson,2742
Z Khan,2860
Mohammed Siraj,2894
SN Thakur,2908
R Vinay Kumar,3041
HV Patel,3215
JD Unadkat,3219
I Sharma,3255
MM Sharma,3278
TA Boult,3286
Rashid Khan,3340
P Kumar,3342
SL Malinga,3486
Mohammed Shami,3486
Sandeep Sharma,3758
AR Patel,3824
JJ Bumrah,3840
Harbhajan Singh,4101
A Mishra,4193
DJ Bravo,4436
UT Yadav,4442
SP Narine,4672
YS Chahal,4681
RA Jadeja,4917
B Kumar,5051
PP Chawla,5179
R Ashwin,5435
